,PW_Injection,SQLi,File_Inclusion,XSS
0,1,0,0,0
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,0,1,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,0,0,0,1
17,0,0,0,1
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,0,0,0,1
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,0,1,0,0
28,1,0,0,0
29,1,0,0,0
30,0,1,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,0,0,0,1
37,1,0,0,0
38,1,0,0,0
39,0,0,0,1
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,0,0,1,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,0,0,0,1
57,1,0,0,0
58,1,0,0,0
59,0,0,0,1
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,0,0,0,1
64,0,0,0,1
65,1,0,0,0
66,0,1,0,0
67,0,1,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,1,0,0,0
74,1,0,0,0
75,1,0,0,0
76,0,0,1,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,0,0,0,1
81,1,0,0,0
82,0,0,0,1
83,1,0,0,0
84,1,0,0,0
85,0,1,0,0
86,1,0,0,0
87,1,0,0,0
88,1,0,0,0
89,1,0,0,0
90,0,0,0,1
91,1,0,0,0
92,1,0,0,0
93,0,0,0,1
94,1,0,0,0
95,1,0,0,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,0,0,0,1
101,1,0,0,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,0,0,0,1
106,1,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,0,1,0,0
115,1,0,0,0
116,0,0,0,1
117,0,1,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,1,0,0,0
122,0,0,0,1
123,1,0,0,0
124,1,0,0,0
125,0,0,1,0
126,0,0,0,1
127,1,0,0,0
128,0,0,0,1
129,1,0,0,0
130,1,0,0,0
131,1,0,0,0
132,1,0,0,0
133,1,0,0,0
134,0,0,0,1
135,1,0,0,0
136,0,0,0,1
137,1,0,0,0
138,0,0,0,1
139,0,0,0,1
140,1,0,0,0
141,1,0,0,0
142,1,0,0,0
143,1,0,0,0
144,1,0,0,0
145,1,0,0,0
146,0,1,0,0
147,1,0,0,0
148,1,0,0,0
149,1,0,0,0
150,0,0,0,1
151,0,1,0,0
152,1,0,0,0
153,1,0,0,0
154,1,0,0,0
155,1,0,0,0
156,0,0,0,1
157,1,0,0,0
158,1,0,0,0
159,0,0,1,0
160,1,0,0,0
161,1,0,0,0
162,0,0,0,1
163,0,0,0,1
164,0,0,1,0
165,1,0,0,0
166,1,0,0,0
167,0,0,0,1
168,1,0,0,0
169,1,0,0,0
170,0,1,0,0
171,1,0,0,0
172,1,0,0,0
173,1,0,0,0
174,0,0,0,1
175,1,0,0,0
176,1,0,0,0
177,1,0,0,0
178,0,0,1,0
179,1,0,0,0
180,0,0,0,1
181,1,0,0,0
182,1,0,0,0
183,1,0,0,0
184,1,0,0,0
185,1,0,0,0
186,1,0,0,0
187,1,0,0,0
188,1,0,0,0
189,1,0,0,0
190,1,0,0,0
191,1,0,0,0
192,1,0,0,0
193,1,0,0,0
194,0,0,0,1
195,0,0,0,1
196,1,0,0,0
197,0,0,0,1
198,1,0,0,0
199,1,0,0,0
200,1,0,0,0
201,1,0,0,0
202,1,0,0,0
203,0,0,0,1
204,1,0,0,0
205,0,0,0,1
206,1,0,0,0
207,1,0,0,0
208,1,0,0,0
209,1,0,0,0
210,1,0,0,0
211,1,0,0,0
212,0,0,0,1
213,1,0,0,0
214,1,0,0,0
215,0,0,0,1
216,1,0,0,0
217,0,0,0,1
218,1,0,0,0
219,1,0,0,0
220,1,0,0,0
221,1,0,0,0
222,1,0,0,0
223,1,0,0,0
224,1,0,0,0
225,1,0,0,0
226,1,0,0,0
227,0,0,0,1
228,0,0,1,0
229,1,0,0,0
230,1,0,0,0
231,1,0,0,0
232,1,0,0,0
233,1,0,0,0
234,0,0,0,1
235,0,1,0,0
236,1,0,0,0
237,1,0,0,0
238,1,0,0,0
239,1,0,0,0
240,0,0,0,1
241,1,0,0,0
242,1,0,0,0
243,1,0,0,0
244,0,0,0,1
245,1,0,0,0
246,0,0,0,1
247,0,0,0,1
248,1,0,0,0
249,0,0,0,1
250,1,0,0,0
251,0,0,0,1
252,0,1,0,0
253,1,0,0,0
254,1,0,0,0
255,1,0,0,0
256,1,0,0,0
257,1,0,0,0
258,0,0,0,1
259,1,0,0,0
260,1,0,0,0
261,1,0,0,0
262,1,0,0,0
263,1,0,0,0
264,0,0,0,1
265,1,0,0,0
266,0,0,1,0
267,1,0,0,0
268,1,0,0,0
269,1,0,0,0
270,0,0,0,1
271,1,0,0,0
272,1,0,0,0
273,1,0,0,0
274,1,0,0,0
275,1,0,0,0
276,0,0,0,1
277,1,0,0,0
278,0,0,0,1
279,1,0,0,0
280,1,0,0,0
281,1,0,0,0
282,0,0,0,1
283,1,0,0,0
284,1,0,0,0
285,1,0,0,0
286,0,0,1,0
287,1,0,0,0
288,0,0,0,1
289,0,0,0,1
290,1,0,0,0
291,1,0,0,0
292,1,0,0,0
293,1,0,0,0
294,1,0,0,0
295,1,0,0,0
296,0,0,0,1
297,1,0,0,0
298,1,0,0,0
299,1,0,0,0
300,1,0,0,0
301,1,0,0,0
302,1,0,0,0
303,1,0,0,0
304,1,0,0,0
305,0,0,0,1
306,1,0,0,0
307,1,0,0,0
308,1,0,0,0
309,1,0,0,0
310,1,0,0,0
311,1,0,0,0
312,0,0,0,1
313,1,0,0,0
314,1,0,0,0
315,1,0,0,0
316,1,0,0,0
317,1,0,0,0
318,1,0,0,0
319,1,0,0,0
320,1,0,0,0
321,1,0,0,0
322,1,0,0,0
323,0,0,0,1
324,1,0,0,0
325,1,0,0,0
326,0,1,0,0
327,1,0,0,0
328,0,0,0,1
329,1,0,0,0
330,1,0,0,0
331,1,0,0,0
332,1,0,0,0
333,1,0,0,0
334,1,0,0,0
335,1,0,0,0
336,1,0,0,0
337,0,0,0,1
338,1,0,0,0
339,1,0,0,0
340,0,0,0,1
341,1,0,0,0
342,0,0,0,1
343,1,0,0,0
344,1,0,0,0
345,1,0,0,0
346,0,1,0,0
347,1,0,0,0
348,1,0,0,0
349,1,0,0,0
350,1,0,0,0
351,1,0,0,0
352,1,0,0,0
353,0,0,0,1
354,0,0,0,1
355,0,0,0,1
356,1,0,0,0
357,1,0,0,0
358,1,0,0,0
359,0,0,0,1
360,1,0,0,0
361,1,0,0,0
362,0,0,0,1
363,1,0,0,0
364,1,0,0,0
365,1,0,0,0
366,0,0,1,0
367,0,0,0,1
368,0,0,0,1
369,1,0,0,0
370,1,0,0,0
371,1,0,0,0
372,0,0,0,1
373,1,0,0,0
374,0,0,0,1
375,1,0,0,0
376,1,0,0,0
377,1,0,0,0
378,0,0,0,1
379,1,0,0,0
380,1,0,0,0
381,0,0,0,1
382,0,0,0,1
383,1,0,0,0
384,1,0,0,0
385,1,0,0,0
386,1,0,0,0
387,0,1,0,0
388,1,0,0,0
389,1,0,0,0
390,1,0,0,0
391,1,0,0,0
392,1,0,0,0
393,1,0,0,0
394,1,0,0,0
395,0,0,0,1
396,0,1,0,0
397,1,0,0,0
398,1,0,0,0
399,1,0,0,0
400,1,0,0,0
401,1,0,0,0
402,0,0,0,1
403,1,0,0,0
404,0,0,1,0
405,1,0,0,0
406,1,0,0,0
407,1,0,0,0
408,1,0,0,0
409,1,0,0,0
410,1,0,0,0
411,1,0,0,0
412,1,0,0,0
413,0,0,0,1
414,1,0,0,0
415,0,0,0,1
416,0,1,0,0
417,1,0,0,0
418,1,0,0,0
419,1,0,0,0
420,1,0,0,0
421,0,0,0,1
422,1,0,0,0
423,0,0,0,1
424,1,0,0,0
425,0,0,0,1
426,1,0,0,0
427,1,0,0,0
428,0,0,0,1
429,1,0,0,0
430,0,0,0,1
431,0,0,0,1
432,1,0,0,0
433,1,0,0,0
434,1,0,0,0
435,1,0,0,0
436,1,0,0,0
437,1,0,0,0
438,1,0,0,0
439,1,0,0,0
440,1,0,0,0
441,1,0,0,0
442,1,0,0,0
443,1,0,0,0
444,1,0,0,0
445,0,0,0,1
446,1,0,0,0
447,0,0,0,1
448,1,0,0,0
449,1,0,0,0
450,0,0,0,1
451,1,0,0,0
452,1,0,0,0
453,1,0,0,0
454,1,0,0,0
455,1,0,0,0
456,0,0,0,1
457,1,0,0,0
458,1,0,0,0
459,1,0,0,0
460,1,0,0,0
461,1,0,0,0
462,1,0,0,0
463,0,0,0,1
464,0,0,0,1
465,0,0,0,1
466,1,0,0,0
467,1,0,0,0
468,1,0,0,0
469,1,0,0,0
470,0,0,0,1
471,1,0,0,0
472,1,0,0,0
473,0,0,0,1
474,0,0,1,0
475,1,0,0,0
476,1,0,0,0
477,1,0,0,0
478,1,0,0,0
479,1,0,0,0
480,1,0,0,0
481,1,0,0,0
482,1,0,0,0
483,1,0,0,0
484,1,0,0,0
485,1,0,0,0
486,1,0,0,0
487,1,0,0,0
488,1,0,0,0
489,1,0,0,0
490,1,0,0,0
491,0,0,0,1
492,1,0,0,0
493,1,0,0,0
494,1,0,0,0
495,0,0,0,1
496,1,0,0,0
497,1,0,0,0
498,1,0,0,0
499,1,0,0,0
500,1,0,0,0
501,1,0,0,0
502,1,0,0,0
503,1,0,0,0
504,1,0,0,0
505,1,0,0,0
506,1,0,0,0
507,1,0,0,0
508,1,0,0,0
509,0,0,0,1
510,1,0,0,0
511,1,0,0,0
512,0,0,0,1
513,0,0,0,1
514,1,0,0,0
515,1,0,0,0
516,1,0,0,0
517,1,0,0,0
518,1,0,0,0
519,1,0,0,0
520,1,0,0,0
521,1,0,0,0
522,1,0,0,0
523,0,0,0,1
524,1,0,0,0
525,1,0,0,0
526,1,0,0,0
527,0,0,0,1
528,0,0,1,0
529,1,0,0,0
530,1,0,0,0
531,1,0,0,0
532,1,0,0,0
533,1,0,0,0
534,1,0,0,0
535,1,0,0,0
536,1,0,0,0
537,0,0,0,1
538,1,0,0,0
539,1,0,0,0
540,1,0,0,0
541,1,0,0,0
542,1,0,0,0
543,1,0,0,0
544,1,0,0,0
545,1,0,0,0
546,1,0,0,0
547,0,0,0,1
548,1,0,0,0
549,1,0,0,0
550,1,0,0,0
551,1,0,0,0
552,0,0,0,1
553,1,0,0,0
554,1,0,0,0
555,1,0,0,0
556,1,0,0,0
557,1,0,0,0
558,1,0,0,0
559,1,0,0,0
560,1,0,0,0
561,1,0,0,0
562,1,0,0,0
563,0,0,1,0
564,0,0,0,1
565,0,0,0,1
566,1,0,0,0
567,1,0,0,0
568,1,0,0,0
569,1,0,0,0
570,0,0,0,1
571,1,0,0,0
572,1,0,0,0
573,0,0,0,1
574,1,0,0,0
575,1,0,0,0
576,1,0,0,0
577,1,0,0,0
578,0,0,1,0
579,1,0,0,0
580,1,0,0,0
581,1,0,0,0
582,1,0,0,0
583,0,0,0,1
584,1,0,0,0
585,1,0,0,0
586,1,0,0,0
587,1,0,0,0
588,0,0,0,1
589,1,0,0,0
590,1,0,0,0
591,1,0,0,0
592,0,0,0,1
593,1,0,0,0
594,0,0,0,1
595,1,0,0,0
596,1,0,0,0
597,1,0,0,0
598,1,0,0,0
599,1,0,0,0
600,0,0,0,1
601,0,0,0,1
602,1,0,0,0
603,1,0,0,0
604,1,0,0,0
605,0,0,0,1
606,1,0,0,0
607,1,0,0,0
608,1,0,0,0
609,1,0,0,0
610,1,0,0,0
611,0,1,0,0
612,1,0,0,0
